"season","year","week","week_centered","tests_pos","tests_total"
"2011-2012",2012,32,32,2,170
"2011-2012",2012,33,33,1,140
"2011-2012",2012,34,34,1,167
"2011-2012",2012,35,35,1,205
"2011-2012",2012,36,36,1,202
"2011-2012",2012,37,37,0,149
"2011-2012",2012,38,38,0,267
"2011-2012",2012,39,39,1,439
"2012-2013",2012,40,-12,4,433
"2012-2013",2012,41,-11,3,574
"2012-2013",2012,42,-10,5,638
"2012-2013",2012,43,-9,8,726
"2012-2013",2012,44,-8,7,648
"2012-2013",2012,45,-7,7,898
"2012-2013",2012,46,-6,14,951
"2012-2013",2012,47,-5,10,744
"2012-2013",2012,48,-4,17,1109
"2012-2013",2012,49,-3,28,1154
"2012-2013",2012,50,-2,34,1414
"2012-2013",2012,51,-1,72,1689
"2012-2013",2012,52,0,147,1791
"2012-2013",2013,1,1,285,2416
"2012-2013",2013,2,2,494,2921
"2012-2013",2013,3,3,782,3479
"2012-2013",2013,4,4,1175,3910
"2012-2013",2013,5,5,1351,3702
"2012-2013",2013,6,6,1007,3404
"2012-2013",2013,7,7,745,2996
"2012-2013",2013,8,8,618,2525
"2012-2013",2013,9,9,534,2494
"2012-2013",2013,10,10,459,1806
"2012-2013",2013,11,11,308,1901
"2012-2013",2013,12,12,178,1471
"2012-2013",2013,13,13,73,1001
"2012-2013",2013,14,14,58,1120
"2012-2013",2013,15,15,31,683
"2012-2013",2013,16,16,25,482
"2012-2013",2013,17,17,10,487
"2012-2013",2013,18,18,8,471
"2012-2013",2013,19,19,5,335
"2012-2013",2013,20,20,2,303
"2012-2013",2013,21,21,1,273
"2012-2013",2013,22,22,1,264
"2012-2013",2013,23,23,0,274
"2012-2013",2013,24,24,0,268
"2012-2013",2013,25,25,0,272
"2012-2013",2013,26,26,0,229
"2012-2013",2013,27,27,1,205
"2012-2013",2013,28,28,1,229
"2012-2013",2013,29,29,2,245
"2012-2013",2013,30,30,0,201
"2012-2013",2013,31,31,0,176
"2012-2013",2013,32,32,0,185
"2012-2013",2013,33,33,0,170
"2012-2013",2013,34,34,0,166
"2012-2013",2013,35,35,0,187
"2012-2013",2013,36,36,0,219
"2012-2013",2013,37,37,0,194
"2012-2013",2013,38,38,0,291
"2012-2013",2013,39,39,0,293
