x,y,status
9.5,82.5,D
1.75,83.75,D
79,1,A
10,82,A
10.5,85.75,A
19,84,A
16.5,83,A
19,86,A
17.5,85.5,A
14.75,86,A
12,81.5,D
12,82.5,A
10.25,89.25,A
78.25,6.5,D
11,85,A
79.75,7,A
25,87.5,A
25,86.5,A
24.75,84.75,A
79,9.5,D
23.75,80.25,A
23.5,81.5,A
23,83.25,A
21.5,89,A
33,83.5,A
76.75,8.75,D
37.25,84.75,A
36,85.75,A
36.5,88.75,A
32,88.75,D
76.25,8.5,D
3.25,2.5,A
44,86.25,A
45.5,82.75,A
54,81.75,A
72.5,8.25,D
51,85,A
62.75,81.25,A
72,5,D
68.75,82,D
67.5,86,D
67.5,89,A
67,88.25,A
70.25,84.75,A
74,81,A
75.5,84.25,A
73,84,A
73.25,85,A
85,84.5,A
88.5,84.25,A
85.25,83,A
83,80,A
82,84,A
2.75,3.75,A
95,87,A
95.5,81.5,A
93.25,81,A
91.5,85,D
0.25,92.5,A
1.25,96.5,A
1.25,99.75,A
3.75,100,A
2.5,97.75,A
5,94,A
9,92.75,A
8.25,100,A
8,94.25,A
8.5,99,A
7.5,99,A
84,8.25,A
19.25,90,D
10.5,90,A
81.25,9,D
10,95,A
10.75,97.5,A
10.75,100,A
12.25,99.75,A
13.75,98.75,A
17,97.5,A
18.5,90.75,A
80.75,7,A
14.25,94.5,A
20,95.25,A
21.25,92.5,A
22,95,A
23,99.25,A
25.5,100,A
26,97.25,A
25.5,94,A
83.75,6,D
28.25,95.75,A
83,4.75,D
35,95,A
86,5,A
85.25,2.5,A
48,90.75,A
46.75,92.75,A
43.25,91,A
85,2.5,D
53.75,90,A
52,94,A
83.75,2,A
0.25,2,A
63,90,A
60.25,96.5,D
62.75,99,A
67,97,A
66.75,93,A
69.5,90.5,A
72,96.25,A
74,94,A
75.5,93.75,A
75.75,97,A
74.75,99,A
79.75,99,A
79,91,A
82.75,93.5,A
80.25,94,A
80.75,96.25,A
84.75,99.25,A
85.25,97,A
86.75,94.25,A
87.75,94.75,D
88,97.5,A
87.25,90,A
99.25,9,A
99.25,7,A
92,92,D
92.25,94,A
1.75,6,A
93.5,92.75,A
99,0,A
98,0.25,D
98.5,3,D
98.75,4,A
98,6,D
96,7,A
95,8,D
94,7.5,D
93,7,A
92,5.25,D
96.25,3.25,A
95.5,3,D
95.25,2,A
93,0.5,D
92,1,A
5.25,5.5,A
91.75,1.75,D
90.25,1,D
90.25,2.5,A
5.5,10.25,A
1,12,A
0.5,14,A
0.75,16.5,D
3.75,16.25,A
4.25,17,A
3,19,A
1,18.5,A
1,17.75,A
1.75,18.25,A
2,12.75,A
6,14,A
7,13.25,A
7.5,13.25,A
7.5,15,A
9,5.25,A
5.75,19.5,D
7.75,17.75,D
8.75,17,D
14,13,A
13.5,16,A
18.75,19.5,A
14.25,16,A
29,18,A
26.5,12.25,A
26.25,13.25,A
24.25,15.25,A
26.25,18,A
23.75,14,A
25,12,A
26,11.25,A
22,11.25,A
21.75,12,A
39.25,10.5,A
37.75,14,A
30.5,10,A
30.5,11.5,D
30.75,11,A
31.5,11,A
31.5,12.5,A
34.5,12,A
35.25,11.5,A
33.5,14,A
35,16,D
36.25,19.5,A
38,18.75,D
48.75,10.5,D
48.5,12,D
46.5,12,D
47.5,12.5,D
47.75,15.25,D
48.5,16.3,A
45,15.75,D
43.75,18,D
45.25,18,D
45.5,19.5,A
47,19,A
48,19.75,A
41,19,D
40.75,16,D
14.25,6,A
44,11,D
44.75,12.5,A
41,10.25,A
13,4,A
50.5,14.75,A
54.25,10.25,D
54.75,10.25,D
56.25,11.75,A
57.5,12,A
57,14,D
11.5,2,A
58.25,14.75,A
58.25,19,D
56,19,A
55,16.5,A
51.75,18,A
51.25,17,A
52,15.5,D
52,15,D
12,0.25,A
50.5,10.5,A
69.25,14,D
68,14,D
67,15,A
66,15,A
69.75,18.5,D
68.75,17.75,A
63.75,18.5,D
64.25,17,D
60,11.75,D
65.5,12.5,D
74.5,10,D
16.75,0.25,A
73.75,10.75,A
72.5,12.75,D
71.25,14,D
76,16.75,D
79.25,14,D
17,2.5,A
81.25,11,D
16.25,3,D
81,15,D
84.25,13,D
85,15,D
85.5,14,D
87.75,17.5,A
86,19.5,A
82.25,18.75,D
82,17.5,D
89.5,19,A
89,18,A
89.5,14.25,D
88,12,D
94.75,11.25,A
95,15,A
93.25,14.5,D
92,15,D
91.5,18.25,A
94,18,D
93.5,19,D
97,19,A
19,1,D
96.25,17,A
99.25,15,A
98,12.75,A
99,11.25,A
99.25,10.75,D
0.5,21.25,A
0.75,24.5,A
0.25,26.75,A
1,26.75,A
2,24.75,A
7,29,A
6.5,28,A
4,21.25,A
3.75,22.5,A
3,21,A
18.5,25,A
18,24.5,A
13.5,26.25,A
28.75,28.75,D
31.5,21,D
34.5,21.5,A
38,21,D
38.25,20.25,A
39,25.25,A
31.75,29,D
33,26.25,A
34.5,25,D
20,1.75,D
42,23.25,D
42.25,23,D
43,29,D
47.25,29.25,D
46.75,28.75,A
44.5,21,A
46,22.5,A
44,23,D
43.75,29.75,D
9,8.75,A
20.75,6.5,D
52.5,20,A
55.25,21.5,A
57.75,22,A
57.75,22.72,A
59.25,26,A
58,27.5,D
20.75,6.75,A
56.75,27.5,A
55.5,28.25,A
51.75,27,A
54.75,25,A
53,23,A
55.75,24,A
24.5,8.5,A
55.75,25.25,A
59.75,27.75,D
52,20.25,D
60.25,21,A
60,23.5,A
61.75,26.75,A
61.25,26.75,A
63,29,D
64.5,29,D
69,25,A
67.25,26.75,D
28.75,7.75,D
63.25,21.25,A
70,20.25,A
70.75,22.5,D
79,28.5,A
78.5,21.25,D
74.5,20,D
83.5,21.25,D
85.25,21.25,D
85,24,A
88.75,27,D
28,5.75,A
86.5,28.5,D
83,28.25,A
81,28.25,A
82,26,D
92.5,20.5,D
94.75,20.5,A
26,8,A
98,23,D
98.25,23.75,A
99,23.75,A
96.75,28.75,A
92.5,28.25,A
93,26,D
26,7.75,A
100,25.5,A
1.25,30.75,A
0.75,31.25,A
0.25,31.5,A
1.75,32,A
1.5,36.5,D
4.25,34.25,A
8.25,38.75,A
7.75,37.25,D
7,36,A
10,34.25,A
12.25,38.5,A
10.75,34,A
12,34,A
12.5,33,A
