Class,Family,Genus,Species,BodyMass,Invader_NZ
Mammal,Dasyuridae,Dasyurus,geoffroii,1100,0
Mammal,Dasyuridae,Dasyurus,maculatus,5500,0
Mammal,Dasyuridae,Dasyurus,hallucatus,525,0
Mammal,Dasyuridae,Myoictis,melas,200,0
Mammal,Dasyuridae,Myoictis,wallacii,200,0
Mammal,Dasyuridae,Neophascogale,lorentzi,212,0
Mammal,Dasyuridae,Parantechinus,apicalis,68.75,0
Mammal,Dasyuridae,Phascolosorex,doriae,168.31,0
Mammal,Dasyuridae,Phascolosorex,dorsalis,138.5,0
Mammal,Dasyuridae,Pseudantechinus,bilarni,23.05,0
Mammal,Dasyuridae,Pseudantechinus,woolleyae,40,0
Mammal,Dasyuridae,Pseudantechinus,roryi,25.06,0
Mammal,Dasyuridae,Pseudantechinus,ningbing,20,0
Mammal,Dasyuridae,Pseudantechinus,macdonnellensis,32.5,0
Mammal,Dasyuridae,Pseudantechinus,mimulus,16.5,0
Mammal,Dasyuridae,Sarcophilus,harrisii,10000,0
Mammal,Dasyuridae,Antechinus,leo,74,0
Mammal,Dasyuridae,Antechinus,subtropicus,59.5,0
Mammal,Dasyuridae,Antechinus,stuartii,27.5,0
Mammal,Dasyuridae,Antechinus,minimus,53.5,0
Mammal,Dasyuridae,Antechinus,flavipes,45,0
Mammal,Dasyuridae,Antechinus,bellus,44.5,0
Mammal,Dasyuridae,Antechinus,agilis,22.13,0
Mammal,Dasyuridae,Antechinus,adustus,36,0
Mammal,Dasyuridae,Antechinus,swainsonii,53,0
Mammal,Dasyuridae,Antechinus,godmani,76.5,0
Mammal,Dasyuridae,Micromurexia,habbema,46.97,0
Mammal,Dasyuridae,Murexechinus,melanurus,38.02,0
Mammal,Dasyuridae,Murexia,longicaudata,335.83,0
Mammal,Dasyuridae,Paramurexia,rothschildi,53.77,0
Mammal,Dasyuridae,Phascomurexia,naso,52.62,0
Mammal,Dasyuridae,Phascogale,calura,51.5,0
Mammal,Dasyuridae,Phascogale,tapoatafa,193.5,0
Mammal,Dasyuridae,Antechinomys,laniger,25.57,0
Mammal,Dasyuridae,Ningaui,yvonnae,7,0
Mammal,Dasyuridae,Ningaui,ridei,8.5,0
Mammal,Dasyuridae,Ningaui,timealeyi,5.7,0
Mammal,Dasyuridae,Sminthopsis,griseoventer,17.5,0
Mammal,Dasyuridae,Sminthopsis,virginiae,35.25,0
Mammal,Dasyuridae,Sminthopsis,psammophila,33.5,0
Mammal,Dasyuridae,Sminthopsis,ooldea,11,0
Mammal,Dasyuridae,Sminthopsis,murina,17,0
Mammal,Dasyuridae,Sminthopsis,macroura,20,0
Mammal,Dasyuridae,Sminthopsis,longicaudata,18,0
Mammal,Dasyuridae,Sminthopsis,leucopus,26,0
Mammal,Dasyuridae,Sminthopsis,douglasi,55,0
Mammal,Dasyuridae,Sminthopsis,hirtipes,15,0
Mammal,Dasyuridae,Sminthopsis,youngsoni,10.1,0
Mammal,Dasyuridae,Sminthopsis,fuliginosus,19.89,0
Mammal,Dasyuridae,Sminthopsis,dolichura,13.6,0
Mammal,Dasyuridae,Sminthopsis,crassicaudata,15,0
Mammal,Dasyuridae,Sminthopsis,butleri,25,0
Mammal,Dasyuridae,Sminthopsis,boullangerensis,19.89,0
Mammal,Dasyuridae,Sminthopsis,bindi,17.5,0
Mammal,Dasyuridae,Sminthopsis,archeri,16,0
Mammal,Dasyuridae,Sminthopsis,aitkeni,22.5,0
Mammal,Dasyuridae,Sminthopsis,granulipes,25,0
Mammal,Dasyuridae,Sminthopsis,gilberti,19.5,0
Mammal,Dasyuridae,Planigale,gilesi,9.2,0
Mammal,Dasyuridae,Planigale,tenuirostris,6.05,0
Mammal,Dasyuridae,Planigale,novaeguineae,14.9,0
Mammal,Dasyuridae,Planigale,ingrami,4.25,0
